experiment,user,video,startingTime,endTime,N,magQuat,avTsampling,avFsampling
0,48,4,0.021,205.708,18430,1.0000022367375079,0.011160444926749865,89.60216250905502
0,48,5,0.021,655.073,58600,0.9999982342145552,0.011178361774744027,89.45854680239127
0,48,6,0.021,451.12800000000004,40551,1.0000085273417463,0.011124435895538952,89.89219852496191
0,48,7,0.0,164.815,15020,0.999999519112569,0.010973035952063915,91.13248187361587
0,48,8,0.021,292.079,26811,1.000000913624648,0.010893215471261795,91.80025885269364
0,5,0,3.0180000000000002,164.215,14716,1.0000057812982832,0.010953859744495788,91.29202156367674
0,5,1,0.021,201.141,18182,0.99999328502857,0.011061489385106149,90.40373906125696
0,5,2,0.021,293.23900000000003,26286,1.0000024846152213,0.011154911359659134,89.64661105389165
0,5,3,0.0,172.577,15476,0.9999964681058916,0.011151266477125872,89.67591278096154
0,5,4,0.0,205.708,18439,1.0000011657029784,0.011156136449915938,89.63676667898186
0,5,5,0.021,655.073,58650,0.9999971847697843,0.011168832054560955,89.53487662048204
0,5,6,0.021,451.12800000000004,40556,0.9999975097079015,0.011123064404773647,89.90328236981469
0,5,7,0.0,164.815,15020,1.0000011267957827,0.010973035952063915,91.13248187361587
0,5,8,0.0,292.079,26823,0.9999965147297968,0.01088912500466018,91.83474333998679
0,6,0,1.7590000000000001,164.215,14717,0.9999977041907191,0.011038662770945167,90.59068301570886
0,6,1,0.0,201.141,18106,0.9999973362595644,0.01110907986302883,90.01645611784768
0,6,2,0.0,293.23900000000003,26286,0.9999932384132588,0.01115571026401887,89.64019110691278
0,6,3,0.0,172.577,15477,1.0000002865784372,0.011150545971441495,89.68170729587372
0,6,4,0.021,205.708,18430,0.9999959711905888,0.011160444926749865,89.60216250905502
0,6,5,0.0,655.073,58649,1.0000028526356086,0.011169380552098075,89.53047980912051
0,6,6,0.021,451.12800000000004,40565,0.9999993839565902,0.011120596573400716,89.92323329054969
0,6,7,0.021,164.815,15025,1.0000053161350457,0.010967986688851914,91.17443596247436
0,6,8,0.021,292.079,26843,1.0000046429473797,0.01088022948254666,91.90982613042614
0,7,0,6.622999999999999,164.215,14736,0.999995010419388,0.010694353963083606,93.50728463373774
0,7,1,0.021,201.141,18182,0.999997306805489,0.011061489385106149,90.40373906125696
0,7,2,0.0,293.23900000000003,26267,1.0000160491056929,0.011163779647466404,89.57539754261882
0,7,3,0.021,172.577,15476,1.000001103839736,0.011149909537348153,89.68682630566308
0,7,4,0.021,205.708,18441,1.0000034214175708,0.01115378775554471,89.65564182471425
0,7,5,0.021,655.073,58652,1.0000000073468107,0.011168451203710019,89.53792981320566
0,7,6,0.0,451.12800000000004,40550,1.000005416712597,0.011125228113440199,89.88579737901436
0,7,7,0.0,164.815,15028,0.9999995782584982,0.010967194570135747,91.18102114492005
0,7,8,0.021,292.079,26802,1.0000085705208577,0.01089687336765913,91.76944305583137
0,8,0,8.927,164.215,14737,1.0000017256985099,0.010537287100495353,94.90108701251867
0,8,1,0.021,201.141,18173,1.000001354896139,0.011066967479227426,90.35898965791567
0,8,2,0.0,293.248,26269,1.0000009327369386,0.011163272298146103,89.5794685726757
0,8,3,0.0,172.577,15480,0.9999974297671392,0.011148385012919896,89.69909084061028
0,8,4,0.0,205.717,18428,1.0000012376456964,0.011163284132841329,89.57937360548715
0,8,5,0.0,655.073,58666,0.9999963454097857,0.011166143933453788,89.55643111531082
0,8,6,0.021,451.12800000000004,40576,0.999998242181971,0.011117581821766562,89.94761774922578
0,8,7,0.0,164.815,15012,1.0000020310163729,0.010978883559818811,91.08394260231168
0,8,8,0.021,292.079,26827,0.9999987806398417,0.010886718604391098,91.8550424915599
0,9,0,0.021,164.215,14718,0.9999989426354713,0.011155999456447888,89.63786740075763
0,9,1,0.0,201.141,18182,1.0000000879066464,0.011062644373556264,90.39430051555874
0,9,2,0.0,293.23900000000003,26257,0.9999999738175129,0.01116803138210763,89.54129566667461
0,9,3,0.0,172.577,15457,1.0000061047983264,0.011164973798279097,89.56581699763004
0,9,4,0.021,205.708,18433,0.9999947961903127,0.01115862854662833,89.61674777696209
0,9,5,0.0,655.061,58650,0.9999974743264786,0.011168985507246378,89.53364648483118
0,9,6,0.021,451.12800000000004,40564,0.9999998405237301,0.011120870722808401,89.92101652157913
0,9,7,0.0,164.815,15039,1.0000039445633973,0.010959172817341578,91.24776264296332
0,9,8,0.0,292.079,26828,0.9999940563908528,0.010887095571790666,91.85186199624074
1,1,0,0.021,278.327,24917,1.00000302645416,0.01116932214953646,89.53094794937947
1,1,1,0.0,341.056,30535,0.9999986969886803,0.011169346651383657,89.53075154813287
1,1,2,0.0,186.03900000000002,16683,1.0000128601905087,0.011151411616615717,89.67474561785431
1,1,3,0.0,361.335,32385,0.9999984696920017,0.01115748031496063,89.62597035991531
1,1,4,0.0,172.015,15814,0.9999951493133962,0.010877387125331983,91.93384297880999
1,1,5,0.021,205.623,18428,1.0000034081782543,0.011157043629259822,89.62947831246778
1,1,6,0.021,373.066,33390,0.9999981583366483,0.011172356993111709,89.50662788671609
1,1,7,0.021,226.017,20252,0.9999981917443963,0.011159194153663836,89.61220552576151
1,1,8,0.0,520.503,46616,1.0000002230161422,0.011165758537841085,89.55952223138003
1,10,0,0.0,278.327,24928,1.0000022226785255,0.011165235879332477,89.56371462344653
1,10,1,0.0,341.056,30532,0.9999998962814786,0.011170444124197562,89.52195533871271
1,10,2,0.0,186.03900000000002,16662,1.0000012266202967,0.011165466330572561,89.56186606034218
1,10,3,0.021,361.335,32334,0.9999994172228296,0.011174429393208386,89.49002806423223
1,10,4,0.0,172.015,15816,0.9999981545864666,0.010876011633788568,91.94546987181351
1,10,5,0.0,205.623,18417,0.9999987520643925,0.011164847695064341,89.5668286135306
1,10,6,0.0,373.045,33415,1.0000022602062544,0.011163998204399223,89.57364393035692
1,10,7,0.0,226.017,20259,1.0000012869374826,0.011156374944469125,89.63485047584916
1,10,8,0.0,520.503,46606,1.0000022773252213,0.011168154314895078,89.54031004624373
1,11,0,0.0,278.327,24895,1.0000005153294935,0.011180036151837719,89.44514905129577
1,11,1,0.0,341.041,30537,0.9999900089445205,0.011168123915250351,89.54055377505931
1,11,2,0.0,186.03900000000002,16691,0.9999965411991159,0.011146066742555869,89.71774735404942
1,11,3,0.0,361.335,32369,0.9999983827988227,0.011162995458617812,89.58169012135554
1,11,4,0.021,172.015,15820,1.0000021570518536,0.010871934260429835,91.97995278905078
1,11,5,0.021,205.623,18433,0.9999975575809743,0.011154017251668204,89.65379714205115
1,11,6,0.021,373.066,33416,0.9999932927891649,0.011163664112999759,89.57632457210258
1,11,7,0.021,226.017,20243,0.99999977207335,0.011164155510546857,89.57238181206746
1,11,8,0.021,520.503,46602,1.000002312438497,0.01116866228917214,89.53623756441144
1,12,0,0.0,278.327,24928,0.9999959425569597,0.011165235879332477,89.56371462344653
1,12,1,0.021,341.041,30547,1.0000047449804996,0.011163780403967656,89.5753914726409
1,12,2,0.0,186.03900000000002,16677,0.9999988124687553,0.011155423637344846,89.64249431570799
1,12,3,0.0,361.335,32380,0.9999928344058745,0.011159203211859172,89.61213278536539
1,12,4,0.0,172.015,15842,0.9999998117723129,0.010858161848251483,92.09661948085923
1,12,5,0.021,205.623,18429,1.0000038297933713,0.011156438222366921,89.63434207838445
1,12,6,0.0,373.066,33406,1.0000066560568386,0.011167634556666466,89.5444773846987
1,12,7,0.021,226.017,20276,1.000009577062521,0.011145985401459854,89.71840209561232
1,12,8,0.0,520.503,46608,1.0000055490170598,0.01116767507723996,89.54415248327099
1,13,0,0.0,278.327,24927,1.0000019663771613,0.011165683796686324,89.56012172732075
1,13,1,0.0,341.041,30548,0.9999985153682514,0.011164102396228885,89.5728079615061
1,13,2,0.0,186.03900000000002,16673,1.0000020341674478,0.01115809992202963,89.62099344761045
1,13,3,0.0,361.335,32381,1.0000005917059775,0.011158858589913837,89.61490030027538
1,13,4,0.0,172.015,15796,1.0000026980967185,0.010889782223347681,91.82920094177835
1,13,5,0.0,205.623,18415,0.9999971981047698,0.01116606027694814,89.55710207515696
1,13,6,0.021,373.066,33427,1.0000040989651724,0.011159990426900409,89.60581163130455
1,13,7,0.0,226.017,20248,1.0000021595106225,0.011162435796128013,89.58618157041285
1,13,8,0.021,520.503,46606,1.0000005103505067,0.01116770372913359,89.54392274852924
1,14,0,0.0,278.327,24886,0.9999960854602118,0.011184079402073456,89.41281298616376
1,14,1,0.0,341.041,30533,1.0000017866833633,0.011169587004224936,89.52882497998775
1,14,2,0.021,186.03900000000002,16674,0.9999973958156779,0.011156171284634763,89.63648679160079
1,14,3,0.021,361.335,32356,0.9999968676199987,0.011166831499567313,89.55091693097971
1,14,4,0.0,172.015,15824,1.0000003314949888,0.010870513144590494,91.99197744382758
1,14,5,0.021,205.623,18417,0.9999978539168498,0.011163707444209154,89.57597688738437
1,14,6,0.0,373.066,33424,1.0000002072151735,0.011161620392532311,89.59272622002543
1,14,7,0.021,226.017,20251,0.9999994236826325,0.011159745197768012,89.6077806686844
1,14,8,0.021,520.503,46607,1.0000006833367034,0.011167464114832538,89.54584404455868
