classifier,datatype,fit_time,fold,score_time,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro,methodtype,dataset,classlabels
KNN,Yaw,0.007772207260131836,6,0.15537762641906738,0.3218390804597701,0.3159225952617711,0.31708410636982065,0.32183908045977005,fbc,IMT,videos
KNN,Yaw,0.006951570510864258,7,0.13300251960754395,0.3839080459770115,0.3821610619882495,0.3818656998329642,0.3839080459770116,fbc,IMT,videos
KNN,Yaw,0.005295991897583008,8,0.108290433883667,0.3885057471264368,0.3873802016007388,0.38820003259465263,0.3885057471264368,fbc,IMT,videos
KNN,Yaw,0.005400896072387695,9,0.11926770210266112,0.3747126436781609,0.3764949556141137,0.3804057831533464,0.3747126436781609,fbc,IMT,videos
KNN,Yaw,0.0036215782165527344,10,0.14426064491271973,0.32413793103448274,0.3224465746403237,0.32573004773004777,0.32413793103448274,fbc,IMT,videos
KNN,Yaw,0.006377220153808594,11,0.09171772003173828,0.3839080459770115,0.3784029632893369,0.3784468052228512,0.3839080459770116,fbc,IMT,videos
KNN,Yaw,0.004683494567871094,12,0.15186500549316406,0.3701149425287356,0.3689653218123388,0.3716319706064121,0.3701149425287357,fbc,IMT,videos
KNN,Yaw,0.004342079162597656,13,0.09696340560913086,0.3793103448275862,0.3745389233014712,0.3746091784221147,0.3793103448275862,fbc,IMT,videos
KNN,Yaw,0.004880428314208984,14,0.09067368507385254,0.3701149425287356,0.36507272824665626,0.36957774120855613,0.3701149425287356,fbc,IMT,videos
KNN,Yaw,0.006675004959106445,15,0.1255340576171875,0.3839080459770115,0.3799008778353067,0.38104737866566507,0.38390804597701145,fbc,IMT,videos
KNN,Yaw,0.005131721496582031,16,0.103926420211792,0.4137931034482759,0.4129305882682578,0.4147721402789283,0.4137931034482759,fbc,IMT,videos
KNN,Yaw,0.005325555801391602,17,0.1120595932006836,0.3908045977011495,0.3843215911636821,0.38741652200262144,0.3908045977011495,fbc,IMT,videos
KNN,Yaw,0.007242918014526367,18,0.11199188232421876,0.34942528735632183,0.3447822715438992,0.34955565077124706,0.34942528735632183,fbc,IMT,videos
KNN,Yaw,0.006226301193237305,19,0.12502694129943848,0.3632183908045977,0.3595821653637327,0.35951590850329274,0.3632183908045977,fbc,IMT,videos
DT,Yaw,0.8535544872283936,0,0.005926370620727539,0.3885057471264368,0.3885198627571082,0.3899612315772536,0.3885057471264368,fbc,IMT,videos
DT,Yaw,0.667224645614624,1,0.005800724029541016,0.34942528735632183,0.3476081889090019,0.3483644673641636,0.34942528735632183,fbc,IMT,videos
DT,Yaw,0.6857450008392334,2,0.005651712417602539,0.36781609195402293,0.3679012479766465,0.368265365795668,0.36781609195402293,fbc,IMT,videos
